SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -646.377 13.528 -1.977 -14.363 -1.011 -1.365 -0.096 938.686 1420.078 481.392 10.0 0.146 1.215 0.463 -3.68 -1495.535 301.368 3.882 131.729 417.177 -11.224 201.547 1.086 -10.139 -13.206 -18.772 -205.922 1.0 327.0 59.0 109.631 -8.615 0.0 -0.793 3.172 -28.415 -21.2 0.0 0.0 -0.805 -39.427 -0.735 -7.345 c.11.44
SCORE: -637.889 12.824 -1.951 -3.926 -0.278 6.478 0.458 823.444 1413.711 590.268 13.0 0.146 1.224 0.456 -3.684 -1490.163 298.872 4.12 130.585 418.788 -11.535 204.993 -0.198 -9.83 -13.077 -16.884 -206.553 1.0 327.0 52.0 107.953 -7.948 0.0 -0.483 3.179 -27.33 -21.2 0.0 0.0 -0.509 -21.366 -0.377 -3.769 c.11.45
SCORE: -638.585 13.744 -1.953 -15.261 -1.054 -2.589 -0.179 847.461 1448.162 600.701 13.0 0.146 1.186 0.462 -3.639 -1492.084 310.056 4.001 131.382 418.549 -11.216 197.874 0.887 -10.507 -12.893 -19.671 -205.796 2.0 327.0 56.0 108.109 -8.271 0.0 -0.916 3.143 -28.215 -21.2 0.0 0.0 -0.941 -43.302 -0.801 -8.014 c.11.46
SCORE: -638.561 13.923 -1.953 -14.148 -1.05 3.307 0.245 896.695 1347.372 450.677 14.0 0.146 1.183 0.459 -3.65 -1500.288 305.313 4.172 132.091 420.802 -11.609 205.624 -1.559 -9.729 -12.994 -21.176 -206.676 4.0 327.0 57.0 109.874 -6.294 0.0 -0.668 3.211 -27.818 -21.2 0.0 0.0 -0.788 -37.017 -0.104 -1.039 c.11.47
SCORE: -644.738 13.086 -1.972 -14.585 -1.006 -9.026 -0.622 970.881 1450.306 479.424 6.0 0.146 1.203 0.462 -3.675 -1479.85 303.612 3.889 131.422 410.681 -10.776 188.172 0.166 -8.062 -13.085 -18.788 -206.41 1.0 327.0 49.0 108.238 -6.224 0.0 -0.858 3.195 -27.687 -21.2 0.0 0.0 -1.018 -39.704 -0.233 -2.334 c.11.48
SCORE: -646.689 13.108 -1.978 -16.413 -1.137 -9.433 -0.654 865.959 1442.879 576.92 7.0 0.146 1.18 0.46 -3.643 -1478.189 301.789 3.948 131.214 409.158 -10.858 188.366 0.195 -7.892 -12.991 -18.966 -206.709 1.0 327.0 49.0 107.624 -6.547 0.0 -0.995 3.175 -26.753 -21.2 0.0 0.0 -1.103 -43.005 -0.577 -5.766 c.11.49
SCORE: -659.206 14.081 -2.016 -19.446 -1.471 -14.682 -1.111 963.738 1321.864 358.126 4.0 0.146 1.213 0.457 -3.683 -1484.373 298.778 4.094 131.862 409.857 -11.775 186.326 0.244 -10.205 -13.883 -18.666 -206.661 2.0 327.0 52.0 110.873 -7.219 0.0 -1.115 3.174 -28.323 -21.2 0.0 0.0 -1.223 -51.376 -0.658 -6.583 c.11.5
SCORE: -647.755 13.389 -1.981 -19.25 -1.257 -10.31 -0.673 946.205 1530.968 584.763 6.0 0.147 1.257 0.451 -3.681 -1496.22 301.714 3.88 132.669 423.321 -11.709 196.199 0.31 -9.225 -13.255 -20.412 -207.833 3.0 327.0 51.0 107.395 -7.022 0.0 -1.003 3.234 -27.467 -21.2 0.0 0.0 -0.96 -39.351 -1.179 -11.794 c.11.50
SCORE: -631.92 13.189 -1.932 -6.758 -0.48 11.502 0.816 848.739 1409.291 560.552 9.0 0.146 1.219 0.453 -3.682 -1493.983 301.633 4.129 132.011 414.458 -11.654 212.409 -0.248 -7.448 -14.066 -18.394 -206.489 2.0 327.0 57.0 109.836 -7.204 0.0 -0.59 3.224 -27.317 -21.2 0.0 0.0 -0.684 -32.165 -0.148 -1.485 c.11.51
SCORE: -642.878 12.969 -1.966 -17.104 -1.373 -3.358 -0.269 857.558 1246.146 388.588 14.0 0.146 1.173 0.457 -3.637 -1499.963 301.602 3.74 130.922 415.342 -10.994 205.358 0.562 -9.969 -13.481 -16.944 -206.272 3.0 327.0 52.0 109.579 -5.171 0.0 -0.678 3.475 -27.042 -21.2 0.0 0.0 -0.776 -32.604 -0.264 -2.644 c.11.52
SCORE: -640.396 14.341 -1.958 -12.404 -0.828 4.871 0.325 814.939 1497.658 682.719 15.0 0.146 1.224 0.459 -3.687 -1496.11 305.291 3.901 130.56 421.994 -11.867 201.159 -0.182 -9.391 -13.171 -19.325 -207.419 1.0 327.0 65.0 107.871 -7.351 0.0 -0.988 3.385 -26.864 -21.2 0.0 0.0 -1.094 -60.18 -0.403 -4.028 c.11.53
SCORE: -647.409 14.025 -1.98 -18.474 -1.294 -9.399 -0.658 858.732 1427.697 568.964 10.0 0.146 1.19 0.458 -3.654 -1496.701 302.171 3.703 133.875 416.953 -11.751 199.881 0.071 -8.175 -13.236 -19.755 -206.679 1.0 327.0 56.0 107.195 -7.512 0.0 -0.997 3.114 -27.435 -21.2 0.0 0.0 -1.026 -47.201 -0.861 -8.606 c.11.54
SCORE: -638.737 13.088 -1.953 -12.554 -0.923 -4.288 -0.315 780.393 1359.486 579.093 22.0 0.147 1.292 0.46 -3.699 -1494.567 304.698 4.155 131.23 423.61 -11.266 198.907 0.448 -8.788 -13.104 -19.821 -205.822 2.0 327.0 55.0 107.571 -8.062 0.0 -0.82 3.128 -27.604 -21.2 0.0 0.0 -0.927 -41.712 -0.337 -3.368 c.11.55
